rates >>>,business $,0.545,medical $,0.18,charity $,0.14,moving $,0.18

SUMMARY

VEHICLE,ODOMETER (START OF YEAR),BUSINESS,COMMUTE,PERSONAL (OTHER),UNCLASSIFIED,TOTAL DISTANCE,BUSINESS VALUE IN $,PARKING IN $,TOLLS IN $,TOTAL VALUE IN $,MEDICAL,MOVING,CHARITY
Sonata,116803,1466.9,0.0,490.1,104.7,2061.7,"=ROUND(PRODUCT(C6, C1), 2)",0.00,0.00,"=ROUND(SUM(H6, I6, J6), 2)",0.0,0.0,0.0
,TOTALS,=SUM(C6:C6),=SUM(D6:D6),=SUM(E6:E6),=SUM(F6:F6),=SUM(G6:G6),=SUM(H6:H6),=SUM(I6:I6),=SUM(J6:J6),=SUM(K6:K6),=SUM(L6:L6),=SUM(M6:M6),=SUM(N6:N6)

DETAILED LOG

START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,MILES_VALUE,PARKING,TOLLS,TOTAL,VEHICLE,PURPOSE,NOTES
07/03/2018 15:35,07/03/2018 15:56,Business,Virginia Beach VA,Norfolk VA,6.6,"=ROUND(PRODUCT(F12, C1), 2)",0.00,0.00,"=ROUND(SUM(G12, H12, I12), 2)",Sonata,Furniture Delivery,
07/03/2018 16:42,07/03/2018 17:06,Business,Norfolk VA,Virginia Beach VA,11.1,"=ROUND(PRODUCT(F13, C1), 2)",0.00,0.00,"=ROUND(SUM(G13, H13, I13), 2)",Sonata,Furniture Delivery,
07/03/2018 17:12,07/03/2018 17:20,Business,North Central Virginia Beach VA,SGC,1.0,"=ROUND(PRODUCT(F14, C1), 2)",0.00,0.00,"=ROUND(SUM(G14, H14, I14), 2)",Sonata,Business,
07/03/2018 17:55,07/03/2018 18:48,Personal,SGC,Hampton VA,29.8,"=ROUND(PRODUCT(F15, 0), 2)",0.00,0.00,"=ROUND(SUM(G15, H15, I15), 2)",Sonata,Personal,
07/03/2018 19:02,07/03/2018 19:56,Personal,Hampton VA,Virginia Beach VA,53.2,"=ROUND(PRODUCT(F16, 0), 2)",0.00,0.00,"=ROUND(SUM(G16, H16, I16), 2)",Sonata,Personal,
07/03/2018 20:03,07/03/2018 21:57,Business,Virginia Beach VA,SGC,28.9,"=ROUND(PRODUCT(F17, C1), 2)",0.00,0.00,"=ROUND(SUM(G17, H17, I17), 2)",Sonata,Grubhub,
07/04/2018 08:47,07/04/2018 09:02,Personal,SGC,Virginia Beach VA,4.2,"=ROUND(PRODUCT(F18, 0), 2)",0.00,0.00,"=ROUND(SUM(G18, H18, I18), 2)",Sonata,Personal,
07/04/2018 14:47,07/04/2018 14:59,Personal,Virginia Beach VA,North Central Virginia Beach VA,4.4,"=ROUND(PRODUCT(F19, 0), 2)",0.00,0.00,"=ROUND(SUM(G19, H19, I19), 2)",Sonata,Personal,
07/04/2018 14:59,07/04/2018 15:04,Personal,North Central Virginia Beach VA,North Central Virginia Beach VA,0.9,"=ROUND(PRODUCT(F20, 0), 2)",0.00,0.00,"=ROUND(SUM(G20, H20, I20), 2)",Sonata,Personal,
07/04/2018 15:06,07/04/2018 15:15,Personal,North Central Virginia Beach VA,SGC,2.8,"=ROUND(PRODUCT(F21, 0), 2)",0.00,0.00,"=ROUND(SUM(G21, H21, I21), 2)",Sonata,Personal,
07/04/2018 17:46,07/04/2018 21:28,Business,SGC,SGC,38.7,"=ROUND(PRODUCT(F22, C1), 2)",0.00,0.00,"=ROUND(SUM(G22, H22, I22), 2)",Sonata,Business,
07/05/2018 08:24,07/05/2018 08:46,Personal,SGC,TCC,6.5,"=ROUND(PRODUCT(F23, 0), 2)",0.00,0.00,"=ROUND(SUM(G23, H23, I23), 2)",Sonata,Personal,
07/05/2018 14:36,07/05/2018 15:05,Personal,TCC,SGC,6.6,"=ROUND(PRODUCT(F24, 0), 2)",0.00,0.00,"=ROUND(SUM(G24, H24, I24), 2)",Sonata,Personal,
07/05/2018 17:56,07/05/2018 18:03,Business,SGC,North Central Virginia Beach VA,2.0,"=ROUND(PRODUCT(F25, C1), 2)",0.00,0.00,"=ROUND(SUM(G25, H25, I25), 2)",Sonata,Business,
07/05/2018 18:07,07/05/2018 18:14,Business,North Central Virginia Beach VA,North Central Virginia Beach VA,1.4,"=ROUND(PRODUCT(F26, C1), 2)",0.00,0.00,"=ROUND(SUM(G26, H26, I26), 2)",Sonata,Business,
07/05/2018 18:20,07/05/2018 18:36,Business,North Central Virginia Beach VA,Northeast Virginia Beach Virginia Beach VA,6.2,"=ROUND(PRODUCT(F27, C1), 2)",0.00,0.00,"=ROUND(SUM(G27, H27, I27), 2)",Sonata,Business,
07/05/2018 18:37,07/05/2018 18:45,Business,Northeast Virginia Beach Virginia Beach VA,Downtown Virginia Beach Virginia Beach VA,1.9,"=ROUND(PRODUCT(F28, C1), 2)",0.00,0.00,"=ROUND(SUM(G28, H28, I28), 2)",Sonata,Business,
07/05/2018 18:46,07/05/2018 18:54,Business,Downtown Virginia Beach Virginia Beach VA,Azar's Mediterranean Cuisine,1.7,"=ROUND(PRODUCT(F29, C1), 2)",0.00,0.00,"=ROUND(SUM(G29, H29, I29), 2)",Sonata,Business,
07/05/2018 18:58,07/05/2018 19:41,Business,Azar's Mediterranean Cuisine,Norfolk VA,10.9,"=ROUND(PRODUCT(F30, C1), 2)",0.00,0.00,"=ROUND(SUM(G30, H30, I30), 2)",Sonata,Business,
07/05/2018 19:43,07/05/2018 19:58,Business,Norfolk VA,Virginia Beach VA,5.1,"=ROUND(PRODUCT(F31, C1), 2)",0.00,0.00,"=ROUND(SUM(G31, H31, I31), 2)",Sonata,Business,
07/05/2018 20:00,07/05/2018 20:43,Business,Virginia Beach VA,Virginia Beach VA,10.5,"=ROUND(PRODUCT(F32, C1), 2)",0.00,0.00,"=ROUND(SUM(G32, H32, I32), 2)",Sonata,Business,
07/05/2018 20:47,07/05/2018 21:15,Business,Virginia Beach VA,Norfolk VA,12.6,"=ROUND(PRODUCT(F33, C1), 2)",0.00,0.00,"=ROUND(SUM(G33, H33, I33), 2)",Sonata,Business,
07/05/2018 21:16,07/05/2018 21:28,Business,Norfolk VA,Virginia Beach VA,7.6,"=ROUND(PRODUCT(F34, C1), 2)",0.00,0.00,"=ROUND(SUM(G34, H34, I34), 2)",Sonata,Business,
07/05/2018 21:33,07/05/2018 21:45,Business,Virginia Beach VA,SGC,3.5,"=ROUND(PRODUCT(F35, C1), 2)",0.00,0.00,"=ROUND(SUM(G35, H35, I35), 2)",Sonata,Business,
